Brand,Date,Expiry,Floor,Lease Start,Parent Group,Sales Category,Tcode,Unit,GLA,Sales
Bose,2/1/2017,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,22504
Bose,2/1/2018,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,16720
Bose,1/1/2017,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,25873
Bose,1/1/2018,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,22859
Bose,7/1/2017,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,30964
Bose,7/1/2018,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,25270
Bose,6/1/2017,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,24578
Bose,6/1/2018,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,23758
Bose,3/1/2017,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,25765
Bose,3/1/2018,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,21013
Bose,5/1/2017,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,21458
Bose,5/1/2018,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,19365
Bose,11/1/2017,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,31668
Bose,11/1/2018,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,25383
Bose,10/1/2017,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,23000
Bose,10/1/2018,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,26390
Bose,9/1/2017,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,32598
Bose,9/1/2018,4/3/2019,First Floor,4/3/2019,Others,Electronics & Gadgets & Accessories,t0000745,L1-078,99,27151
IStyle,4/1/2017,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,178985
IStyle,4/1/2018,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,179454
IStyle,8/1/2017,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,315751
IStyle,8/1/2018,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,386432
IStyle,12/1/2017,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,459334
IStyle,12/1/2018,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,445699
IStyle,2/1/2017,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,222953
IStyle,2/1/2018,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,228711
IStyle,1/1/2017,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,262142
IStyle,1/1/2018,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,242856
IStyle,7/1/2017,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,160618
IStyle,7/1/2018,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,202851
IStyle,6/1/2017,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,134289
IStyle,6/1/2018,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,220912
IStyle,3/1/2017,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,199032
IStyle,3/1/2018,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,178981
