Brand,Date,Expiry,Floor,Lease Start,Parent Group,Sales Category,Tcode,Unit,GLA,Rent
IStyle,Feb 2018,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,11725
IStyle,Jan 2017,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,11167
IStyle,Jan 2018,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,11725
IStyle,Jul 2017,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,11725
IStyle,Jul 2018,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,12311
IStyle,Jun 2017,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,11725
IStyle,Jun 2018,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,12311
IStyle,Mar 2017,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,11167
IStyle,Mar 2018,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,11725
IStyle,May 2017,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,11725
IStyle,May 2018,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,12311
IStyle,Nov 2017,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,11725
IStyle,Nov 2018,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,12311
IStyle,Oct 2017,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,11725
IStyle,Oct 2018,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,12311
IStyle,Sep 2017,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,11725
IStyle,Sep 2018,,First Floor,4/4/2020,Others,Electronics & Gadgets & Accessories,t0000782,L1-077,134,12311
Mobiles Tech,Apr 2017,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,4750
Mobiles Tech,Apr 2018,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,4988
Mobiles Tech,Aug 2017,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,4750
Mobiles Tech,Aug 2018,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,4988
Mobiles Tech,Dec 2017,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,4988
Mobiles Tech,Dec 2018,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,5237
Mobiles Tech,Feb 2017,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,4750
Mobiles Tech,Feb 2018,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,4988
Mobiles Tech,Jan 2017,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,4750
Mobiles Tech,Jan 2018,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,4988
Mobiles Tech,Jul 2017,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,4750
Mobiles Tech,Jul 2018,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,4988
Mobiles Tech,Jun 2017,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,4750
Mobiles Tech,Jun 2018,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,4988
Mobiles Tech,Mar 2017,9/1/2019,Ground Floor,9/1/2019,Others,Mobile Phone & Accessories,t0067878,L0-052,38,4750
